session,n_trials,n_target,n_distractor,n_catch,hits,misses,false_alarms,correct_rejections,hit_rate,fa_rate,accuracy,dprime,criterion,mean_lick_latency_s,session_duration_min,n_licks,lick_rate_hz,n_camera_frames,camera_fps_est,day_number
230504,101,58,43,0,0,58,1,42,0.0,0.023255813953488372,0.4158415841584158,-0.39079900838844916,2.186119965776257,0.5128942999999992,10.503690696666666,5,0.007933719274481213,2214,9.989990029991372,1
230507,350,162,160,28,0,162,0,160,0.0,0.0,0.45714285714285713,-0.004087345425121569,2.736412459245742,,50.796276154999994,0,,7700,9.990628790220704,2
230508,294,147,131,16,0,147,0,131,0.0,0.0,0.445578231292517,-0.03848966915960883,2.687105634122454,,39.60234495666667,0,,6468,9.990279458085702,3
230509,287,97,123,67,44,53,43,80,0.4536082474226804,0.34959349593495936,0.43205574912891986,0.26986796420330705,0.2514841927698569,0.5595472975206818,64.30760063166667,2264,0.586763196926873,6314,9.990568902956705,4
230510,191,68,82,41,56,12,19,63,0.8235294117647058,0.23170731707317074,0.6230366492146597,1.6621352748327825,-0.09783185423087942,0.43940534444442264,41.408033474999996,1433,0.5767801880220378,4202,9.990618808933702,5
230511,228,113,102,13,0,113,0,102,0.0,0.0,0.4473684210526316,-0.03514247679759075,2.6002406492355785,,33.61670962833333,0,,5016,9.990568902956705,6
230512,558,305,242,11,11,294,10,232,0.036065573770491806,0.04132231404958678,0.43548387096774194,-0.06274622174528766,1.766916359195519,0.4614356499999864,62.19031619833333,1031,0.2763023953525716,12276,9.991018074745085,7
230513,215,96,96,23,84,12,23,73,0.875,0.23958333333333334,0.7302325581395349,1.8579928891288873,-0.22135293581156423,0.3617064982905869,44.424524285,2795,1.0485949840336783,4730,9.992915023249363,8
230514,372,205,165,2,3,202,4,161,0.014634146341463415,0.024242424242424242,0.44086021505376344,-0.20675985886701942,2.076473975640065,0.732122037500055,39.072365313333336,35,0.014929562842059946,8184,9.992915023249363,9
230515,243,133,110,0,0,133,0,110,0.0,0.0,0.45267489711934156,-0.06433132022627364,2.6407820474736843,,25.076462958333334,2,0.0013292677435697165,5346,9.993124730193896,10
230516,125,57,57,11,46,11,15,42,0.8070175438596491,0.2631578947368421,0.704,1.5005982019832445,-0.11665910021192122,0.4209119758064713,23.581092591666668,600,0.4240685609085774,2750,9.992885065832914,11
230517,209,96,95,18,87,9,15,80,0.90625,0.15789473684210525,0.7990430622009569,2.321158864966071,-0.15743146482050152,0.3133588095238092,30.172902398333335,834,0.4606782541664867,4598,9.992915023246525,12
230518,406,207,175,24,204,3,19,156,0.9855072463768116,0.10857142857142857,0.8866995073891626,3.4178447389479922,-0.4747612094114305,0.2539225074889798,48.656071225,1261,0.43194335542381573,8932,9.992895051648713,13
230519,228,122,104,2,26,96,1,103,0.21311475409836064,0.009615384615384616,0.5657894736842105,1.545366838346518,1.568343718457189,0.36430279999999937,24.682871528333333,106,0.07157460041222188,5016,9.992984924582478,14
230520,488,242,227,19,0,242,0,227,0.0,0.0,0.4651639344262295,-0.020305827519590203,2.8577340481107725,,83.29788270666667,0,,10736,9.99307479915554,15
230521,240,78,104,58,0,78,0,104,0.0,0.0,0.43333333333333335,0.1006458204105356,2.539039476499128,,58.348646970000004,0,,5280,9.992925009079624,16
230522,362,159,168,35,145,14,27,141,0.9119496855345912,0.16071428571428573,0.7900552486187845,2.344385633778244,-0.18066634221179168,0.27957278361582394,51.02845289333333,1063,0.3471919225868061,7964,9.99309477152009,17
230523,186,59,90,37,56,3,35,55,0.9491525423728814,0.3888888888888889,0.5967741935483871,1.9189077937359076,-0.6772377498054456,0.43705637741936676,36.552071845,798,0.36386446318006244,4092,9.99187660432075,18
