session,phase,category,frame,mean_dFF,H,W,n_frames
230712,,Hits,0,-0.0005872269585989593,142,170,22
230712,,Hits,1,-0.0001719496440399939,142,170,22
230712,,Hits,2,-0.0002765525481016373,142,170,22
230712,,Hits,3,-0.00029875997848668133,142,170,22
230712,,Hits,4,-0.0002986789290771545,142,170,22
230712,,Hits,5,-0.00021503149126210738,142,170,22
230712,,Hits,6,0.00031028693764305175,142,170,22
230712,,Hits,7,0.0003230403850873316,142,170,22
230712,,Hits,8,0.0003445343419983291,142,170,22
230712,,Hits,9,0.0001660764082628456,142,170,22
230712,,Hits,10,0.00011703451797601377,142,170,22
230712,,Hits,11,0.001310775559069104,142,170,22
230712,,Hits,12,0.0028776097519952206,142,170,22
230712,,Hits,13,0.004144653536427265,142,170,22
230712,,Hits,14,0.00848830083566817,142,170,22
230712,,Hits,15,0.01127628190728525,142,170,22
230712,,Hits,16,0.013871411448139838,142,170,22
230712,,Hits,17,0.015380008018438928,142,170,22
230712,,Hits,18,0.019205731467930975,142,170,22
230712,,Hits,19,0.023174715751224997,142,170,22
230712,,Hits,20,0.0264306250917167,142,170,22
230712,,Hits,21,0.028536547163266153,142,170,22
230712,,GoodLicks,0,0.00017662756227814107,142,170,14
230712,,GoodLicks,1,0.0006199576096647686,142,170,14
230712,,GoodLicks,2,0.001057876774854627,142,170,14
230712,,GoodLicks,3,0.0012355537252352585,142,170,14
230712,,GoodLicks,4,0.0012548719570625595,142,170,14
230712,,GoodLicks,5,0.0014542750668635612,142,170,14
230712,,GoodLicks,6,0.002927564833191128,142,170,14
230712,,GoodLicks,7,0.006521837213883339,142,170,14
230712,,GoodLicks,8,0.011414974981979504,142,170,14
230712,,GoodLicks,9,0.02129733068508467,142,170,14
230712,,GoodLicks,10,0.026942799656682174,142,170,14
230712,,GoodLicks,11,0.026661919389224454,142,170,14
230712,,GoodLicks,12,0.02035754868346076,142,170,14
230712,,GoodLicks,13,0.019097115824426754,142,170,14
230712,,FA,0,0.005203632676770942,142,170,22
230712,,FA,1,0.00023203532440336995,142,170,22
230712,,FA,2,8.189319855892514e-06,142,170,22
230712,,FA,3,-0.00026306902444919196,142,170,22
230712,,FA,4,-0.0002602428396492281,142,170,22
230712,,FA,5,-0.00010333666107702865,142,170,22
230712,,FA,6,-0.00018621144580391907,142,170,22
230712,,FA,7,6.518710274195235e-05,142,170,22
230712,,FA,8,0.00013640812575605016,142,170,22
230712,,FA,9,0.0001449634611299845,142,170,22
230712,,FA,10,0.00022607663709211894,142,170,22
230712,,FA,11,0.0008395357005653618,142,170,22
230712,,FA,12,0.0015498145195722212,142,170,22
230712,,FA,13,0.007150535650572839,142,170,22
230712,,FA,14,0.009856271203929614,142,170,22
230712,,FA,15,0.01105534912779383,142,170,22
230712,,FA,16,0.012170759353973222,142,170,22
230712,,FA,17,0.013458854459182015,142,170,22
230712,,FA,18,0.015467269622880187,142,170,22
230712,,FA,19,0.016180863659920514,142,170,22
230712,,FA,20,0.017702118414422128,142,170,22
230712,,FA,21,0.01725054528820792,142,170,22
230712,,DistractorLicks,0,-0.00014086937837051844,142,170,14
230712,,DistractorLicks,1,0.0001999971362518426,142,170,14
230712,,DistractorLicks,2,0.0005115484549939559,142,170,14
230712,,DistractorLicks,3,0.000545473803938403,142,170,14
230712,,DistractorLicks,4,0.0005786055903422428,142,170,14
230712,,DistractorLicks,5,0.000644481753563086,142,170,14
230712,,DistractorLicks,6,0.0007725789216970791,142,170,14
230712,,DistractorLicks,7,0.00156663681197816,142,170,14
230712,,DistractorLicks,8,0.004315203477069134,142,170,14
230712,,DistractorLicks,9,0.010571367330202098,142,170,14
230712,,DistractorLicks,10,0.021164848042092104,142,170,14
230712,,DistractorLicks,11,0.024244965843858848,142,170,14
230712,,DistractorLicks,12,0.02004462557748706,142,170,14
230712,,DistractorLicks,13,0.015022827877584813,142,170,14
230712,,Spont,0,0.0018837321181179678,142,170,14
230712,,Spont,1,0.0009591018686195269,142,170,14
230712,,Spont,2,0.0007309689070034223,142,170,14
230712,,Spont,3,-3.740300353108017e-05,142,170,14
230712,,Spont,4,-0.0006149943284975437,142,170,14
230712,,Spont,5,-0.0012078105617495628,142,170,14
230712,,Spont,6,-0.0023362309632244858,142,170,14
230712,,Spont,7,-0.002585307655830329,142,170,14
230712,,Spont,8,-0.003422247995739021,142,170,14
230712,,Spont,9,-0.0013917016295765996,142,170,14
230712,,Spont,10,0.005603489155848871,142,170,14
230712,,Spont,11,0.00796566289627075,142,170,14
230712,,Spont,12,0.010029515650832679,142,170,14
230712,,Spont,13,0.00429609462918841,142,170,14
230712,,Misses,0,0.003631064573411011,142,170,22
230712,,Misses,1,0.0005238750114012397,142,170,22
230712,,Misses,2,0.0004957420051441152,142,170,22
230712,,Misses,3,0.00036305283980413654,142,170,22
230712,,Misses,4,0.00019868351609203663,142,170,22
230712,,Misses,5,0.00010266202067848246,142,170,22
230712,,Misses,6,-0.00010500729956703485,142,170,22
230712,,Misses,7,-0.0004844851682972522,142,170,22
230712,,Misses,8,-0.0005069825613246817,142,170,22
230712,,Misses,9,-0.00041860949725518285,142,170,22
230712,,Misses,10,-0.00016893086667585846,142,170,22
230712,,Misses,11,0.00011203116078833086,142,170,22
230712,,Misses,12,0.0006656254596129597,142,170,22
230712,,Misses,13,0.0008942731217097558,142,170,22
230712,,Misses,14,0.0007340347751335998,142,170,22
230712,,Misses,15,0.0006952271946867414,142,170,22
230712,,Misses,16,0.0006758633692586089,142,170,22
230712,,Misses,17,0.0003617561276986691,142,170,22
230712,,Misses,18,-0.0001162684370216306,142,170,22
230712,,Misses,19,-0.0003748975904075554,142,170,22
230712,,Misses,20,-0.0005799506838004007,142,170,22
230712,,Misses,21,-0.0002983009285963211,142,170,22
230712,,CR,0,0.004451050277220785,142,170,22
230712,,CR,1,-0.00015066806512687228,142,170,22
230712,,CR,2,7.495311160310578e-05,142,170,22
230712,,CR,3,-3.153741120031299e-05,142,170,22
230712,,CR,4,-5.8482486330426106e-05,142,170,22
230712,,CR,5,-0.00010699531007719908,142,170,22
230712,,CR,6,-4.3322753900659216e-05,142,170,22
230712,,CR,7,-3.2456315923666367e-05,142,170,22
230712,,CR,8,7.112228537076311e-05,142,170,22
230712,,CR,9,0.0001947194018660957,142,170,22
230712,,CR,10,8.266754371917011e-05,142,170,22
230712,,CR,11,2.2652895542414686e-05,142,170,22
230712,,CR,12,0.00035512692553691923,142,170,22
230712,,CR,13,0.0009746150510760549,142,170,22
230712,,CR,14,0.0012194832874071605,142,170,22
230712,,CR,15,0.0012867865174585361,142,170,22
230712,,CR,16,0.0011887310781222668,142,170,22
230712,,CR,17,0.0009256022035392131,142,170,22
230712,,CR,18,0.000733465563492215,142,170,22
230712,,CR,19,0.0005537928265822555,142,170,22
230712,,CR,20,0.0007838701596655725,142,170,22
230712,,CR,21,0.00105064205073696,142,170,22
